id,name,old_price,new_price,old_quantity,new_quantity
f1_sp000006277,,NEW,,NEW,
f1_sp000033849,,NEW,,NEW,
f1_sp000035047,,NEW,,NEW,
f1_sp000035245,,NEW,,NEW,
f1_sp000025321,,NEW,,NEW,
f1_sp000025670,,NEW,,NEW,
f1_sp000026068,,NEW,,NEW,
f1_sp000030706,,NEW,,NEW,
f1_sp000035476,,NEW,,NEW,
f1_sp000032311,,NEW,,NEW,
f1_sp000032444,,NEW,,NEW,
f1_sp000032448,,NEW,,NEW,
f1_sp000033299,,NEW,,NEW,
f1_sp000033300,,NEW,,NEW,
f1_sp000033303,,NEW,,NEW,
f1_sp000033304,,NEW,,NEW,
f1_sp000033305,,NEW,,NEW,
f1_sp000034828,,NEW,,NEW,
f1_sp000034838,,NEW,,NEW,
f1_sp000000132,,NEW,,NEW,
f1_sp000018646,,NEW,,NEW,
f1_sp000018647,,NEW,,NEW,
f1_sp000018657,,NEW,,NEW,
f1_sp000018658,,NEW,,NEW,
f1_sp000018676,,NEW,,NEW,
f1_sp000018662,,NEW,,NEW,
f1_sp000018663,,NEW,,NEW,
f1_sp000018664,,NEW,,NEW,
f1_sp000018665,,NEW,,NEW,
f1_sp000018666,,NEW,,NEW,
f1_sp000013439,,NEW,,NEW,
f1_sp000026954,,NEW,,NEW,
f1_sp000026956,,NEW,,NEW,
f1_sp000026957,,NEW,,NEW,
f1_sp000026958,,NEW,,NEW,
f1_sp000026962,,NEW,,NEW,
f1_sp000020824,,NEW,,NEW,
f1_sp000020825,,NEW,,NEW,
f1_sp000020828,,NEW,,NEW,
f1_sp000016659,,NEW,,NEW,
f1_sp000000878,,NEW,,NEW,
f1_sp000033598,,NEW,,NEW,
f1_sp000032309,,NEW,,NEW,
f1_sp000014797,,NEW,,NEW,
f1_sp000001429,,NEW,,NEW,
f1_sp000006874,,NEW,,NEW,
f1_sp000029833,,NEW,,NEW,
f1_sp000035373,,NEW,,NEW,
f1_sp000017645,,NEW,,NEW,
f1_sp000030942,,NEW,,NEW,
f1_sp000030341,,NEW,,NEW,
f1_sp000017267,,NEW,,NEW,
f1_sp000017270,,NEW,,NEW,
f1_sp000017278,,NEW,,NEW,
f1_sp000017279,,NEW,,NEW,
f1_sp000017280,,NEW,,NEW,
f1_sp000026201,,NEW,,NEW,
f1_sp000031681,,NEW,,NEW,
f1_sp000017640,,NEW,,NEW,
f1_sp000017646,,NEW,,NEW,
f1_sp000030933,,NEW,,NEW,
f1_sp000030934,,NEW,,NEW,
f1_sp000030937,,NEW,,NEW,
f1_sp000030940,,NEW,,NEW,
f1_sp000030941,,NEW,,NEW,
f1_sp000033571,,NEW,,NEW,
f1_sp000032129,,NEW,,NEW,
f1_sp000032341,,NEW,,NEW,
f1_sp000032883,,NEW,,NEW,
f1_sp000018417,,NEW,,NEW,
f1_sp000032262,,NEW,,NEW,
f1_sp000032263,,NEW,,NEW,
f1_sp000032266,,NEW,,NEW,
f1_sp000032528,,NEW,,NEW,
f1_sp000032529,,NEW,,NEW,
f1_sp000033648,,NEW,,NEW,
f1_sp000034803,,NEW,,NEW,
f1_sp000034804,,NEW,,NEW,
f1_sp000034805,,NEW,,NEW,
f1_sp000034807,,NEW,,NEW,
f1_sp000016697,,NEW,,NEW,
f1_sp000019084,,NEW,,NEW,
f1_sp000019479,,NEW,,NEW,
f1_sp000023525,,NEW,,NEW,
f1_sp000002951,,NEW,,NEW,
f1_sp000009925,,NEW,,NEW,
f1_sp000004701,,NEW,,NEW,
f1_sp000000061,,NEW,,NEW,
f1_sp000004702,,NEW,,NEW,
f1_sp000023528,,NEW,,NEW,
f1_sp000026590,,NEW,,NEW,
f1_sp000027020,,NEW,,NEW,
f1_sp000029303,,NEW,,NEW,
f1_sp000032522,,NEW,,NEW,
f1_sp000032523,,NEW,,NEW,
f1_sp000004134,,NEW,,NEW,
f1_sp000034785,,NEW,,NEW,
f1_sp000034786,,NEW,,NEW,
f1_sp000035110,,NEW,,NEW,
f1_sp000035111,,NEW,,NEW,
f1_sp000035112,,NEW,,NEW,
f1_sp000035113,,NEW,,NEW,
f1_sp000035115,,NEW,,NEW,
f1_sp000035116,,NEW,,NEW,
f1_sp000035118,,NEW,,NEW,
f1_sp000035119,,NEW,,NEW,
f1_sp000035120,,NEW,,NEW,
f1_sp000021202,,NEW,,NEW,
f1_sp000002250,,NEW,,NEW,
f1_sp000002301,,NEW,,NEW,
f1_sp000002302,,NEW,,NEW,
f1_sp000002303,,NEW,,NEW,
f1_sp000002304,,NEW,,NEW,
f1_sp000006405,,NEW,,NEW,
f1_sp000006920,,NEW,,NEW,
f1_sp000017268,,NEW,,NEW,
f1_sp000017269,,NEW,,NEW,
f1_sp000035780,,NEW,,NEW,
f1_sp000035781,,NEW,,NEW,
f1_sp000035783,,NEW,,NEW,
f1_sp000035784,,NEW,,NEW,
f1_sp000035795,,NEW,,NEW,
f1_sp000035797,,NEW,,NEW,
f1_sp000035803,,NEW,,NEW,
f1_sp000035873,,NEW,,NEW,
f1_sp000035887,,NEW,,NEW,
f1_sp000035899,,NEW,,NEW,
f1_sp000035950,,NEW,,NEW,
f1_sp000035955,,NEW,,NEW,
f1_sp000035963,,NEW,,NEW,
f1_sp000035978,,NEW,,NEW,
f1_sp000035989,,NEW,,NEW,
f1_sp000035995,,NEW,,NEW,
f1_sp000035996,,NEW,,NEW,
f1_sp000035999,,NEW,,NEW,
f1_sp000036087,,NEW,,NEW,
f1_sp000036106,,NEW,,NEW,
f1_sp000036120,,NEW,,NEW,
f1_sp000036127,,NEW,,NEW,
f1_sp000036375,,NEW,,NEW,
f1_sp000036377,,NEW,,NEW,
f1_sp000036380,,NEW,,NEW,
f1_sp000036383,,NEW,,NEW,
f1_sp000036384,,NEW,,NEW,
f1_sp000036388,,NEW,,NEW,
f1_sp000036391,,NEW,,NEW,
f1_sp000036464,,NEW,,NEW,
f1_sp000036465,,NEW,,NEW,
f1_sp000036466,,NEW,,NEW,
f1_sp000036468,,NEW,,NEW,
f1_sp000036469,,NEW,,NEW,
f1_sp000036486,,NEW,,NEW,
f1_sp000036601,,NEW,,NEW,
f1_sp000036604,,NEW,,NEW,
f1_sp000036623,,NEW,,NEW,
f1_sp000036624,,NEW,,NEW,
f1_sp000036625,,NEW,,NEW,
f1_sp000036626,,NEW,,NEW,
f1_sp000036627,,NEW,,NEW,
f1_sp000036628,,NEW,,NEW,
f1_sp000036629,,NEW,,NEW,
f1_sp000036630,,NEW,,NEW,
f1_sp000036631,,NEW,,NEW,
f1_sp000036632,,NEW,,NEW,
f1_sp000036633,,NEW,,NEW,
f1_sp000036638,,NEW,,NEW,
f1_sp000036639,,NEW,,NEW,
f1_sp000036640,,NEW,,NEW,
f1_sp000036641,,NEW,,NEW,
f1_sp000036642,,NEW,,NEW,
f1_sp000036643,,NEW,,NEW,
f1_sp000036644,,NEW,,NEW,
f1_sp000036646,,NEW,,NEW,
f1_sp000036647,,NEW,,NEW,
f1_sp000036648,,NEW,,NEW,
f1_sp000036649,,NEW,,NEW,
f1_sp000036650,,NEW,,NEW,
f1_sp000036651,,NEW,,NEW,
f1_sp000036652,,NEW,,NEW,
f1_sp000036654,,NEW,,NEW,
f1_sp000036657,,NEW,,NEW,
f1_sp000036658,,NEW,,NEW,
f1_sp000036659,,NEW,,NEW,
f1_sp000036660,,NEW,,NEW,
f1_sp000036661,,NEW,,NEW,
f1_sp000036662,,NEW,,NEW,
f1_sp000036663,,NEW,,NEW,
f1_sp000036664,,NEW,,NEW,
f1_sp000036665,,NEW,,NEW,
f1_sp000036666,,NEW,,NEW,
f1_sp000036667,,NEW,,NEW,
f1_sp000036684,,NEW,,NEW,
f1_sp000036685,,NEW,,NEW,
f1_sp000036686,,NEW,,NEW,
f1_sp000036687,,NEW,,NEW,
f1_sp000036688,,NEW,,NEW,
f1_sp000036689,,NEW,,NEW,
f1_sp000036690,,NEW,,NEW,
f1_sp000036691,,NEW,,NEW,
f1_sp000036692,,NEW,,NEW,
f1_sp000036693,,NEW,,NEW,
f1_sp000036694,,NEW,,NEW,
f1_sp000036695,,NEW,,NEW,
f1_sp000036696,,NEW,,NEW,
f1_sp000036697,,NEW,,NEW,
f1_sp000036698,,NEW,,NEW,
f1_sp000036699,,NEW,,NEW,
f1_sp000036700,,NEW,,NEW,
f1_sp000036701,,NEW,,NEW,
f1_sp000036702,,NEW,,NEW,
f1_sp000036703,,NEW,,NEW,
f1_sp000036704,,NEW,,NEW,
f1_sp000036705,,NEW,,NEW,
f1_sp000036706,,NEW,,NEW,
f1_sp000036707,,NEW,,NEW,
f1_sp000036708,,NEW,,NEW,
f1_sp000036709,,NEW,,NEW,
f1_sp000036712,,NEW,,NEW,
f1_sp000036713,,NEW,,NEW,
f1_sp000036714,,NEW,,NEW,
f1_sp000036715,,NEW,,NEW,
f1_sp000036717,,NEW,,NEW,
f1_sp000036718,,NEW,,NEW,
f1_sp000036743,,NEW,,NEW,
f1_sp000036758,,NEW,,NEW,
f1_sp000036762,,NEW,,NEW,
f1_sp000036765,,NEW,,NEW,
f1_sp000036767,,NEW,,NEW,
f1_sp000036768,,NEW,,NEW,
f1_sp000036769,,NEW,,NEW,
f1_sp000036771,,NEW,,NEW,
f1_sp000036784,,NEW,,NEW,
f1_sp000036788,,NEW,,NEW,
f1_sp000036789,,NEW,,NEW,
f1_sp000036857,,NEW,,NEW,
f1_sp000036860,,NEW,,NEW,
f1_sp000036862,,NEW,,NEW,
f1_sp000036863,,NEW,,NEW,
f1_sp000036864,,NEW,,NEW,
f1_sp000036865,,NEW,,NEW,
f1_sp000036866,,NEW,,NEW,
f1_sp000036867,,NEW,,NEW,
f1_sp000036868,,NEW,,NEW,
f1_sp000036873,,NEW,,NEW,
f1_sp000036875,,NEW,,NEW,
f1_sp000036876,,NEW,,NEW,
f1_sp000036877,,NEW,,NEW,
f1_sp000036878,,NEW,,NEW,
